,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond
128,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
129,BrkFace,TA,TA,No,Rec,BLQ,FuseA,,2Types,RFn,TA,TA
130,BrkFace,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
131,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA
132,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
133,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
134,None,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA
135,BrkFace,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
136,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
137,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,2Types,Unf,TA,TA
138,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
139,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
140,None,TA,TA,No,ALQ,Unf,SBrkr,Po,,,,
141,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
142,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
143,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
144,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
145,Stone,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
146,None,TA,TA,No,BLQ,Unf,FuseA,,Detchd,Unf,Fa,TA
147,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
148,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,,,,
149,None,Gd,TA,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,TA
150,None,TA,TA,Av,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
151,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
152,BrkFace,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
153,None,Gd,TA,Gd,BLQ,ALQ,SBrkr,Gd,Attchd,RFn,TA,TA
154,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,Fa
155,None,TA,TA,No,Unf,Unf,FuseF,,,,,
156,None,,,,,,FuseF,,Detchd,Unf,TA,TA
157,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
158,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
159,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
160,None,Gd,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
161,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
162,BrkFace,Gd,TA,Mn,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
163,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
164,None,TA,TA,Mn,LwQ,Unf,FuseA,,Detchd,Unf,TA,TA
165,None,TA,TA,No,ALQ,Rec,SBrkr,,,,,
166,None,TA,TA,No,LwQ,BLQ,FuseA,Gd,Attchd,Fin,TA,TA
167,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
168,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
169,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
170,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
171,Stone,TA,Gd,Gd,BLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
172,None,Gd,Gd,No,GLQ,Rec,SBrkr,TA,Attchd,RFn,Gd,TA
173,BrkCmn,TA,TA,No,ALQ,Rec,SBrkr,TA,Attchd,Unf,TA,TA
174,Stone,Gd,Fa,No,ALQ,LwQ,SBrkr,TA,Attchd,Fin,TA,TA
175,None,TA,Gd,Av,ALQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
176,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
177,None,TA,TA,No,ALQ,BLQ,SBrkr,Gd,Attchd,Unf,TA,TA
178,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
179,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,TA
180,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
181,None,Fa,TA,No,LwQ,Unf,SBrkr,Gd,Detchd,Unf,Fa,TA
182,BrkFace,,,,,,SBrkr,Gd,Attchd,RFn,TA,TA
183,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
184,None,Fa,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
185,None,TA,TA,Mn,Unf,Unf,SBrkr,TA,Detchd,Unf,Ex,TA
186,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
187,None,Fa,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,Fa
188,Stone,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
189,None,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
190,None,Gd,Gd,No,Rec,Unf,SBrkr,TA,Detchd,Unf,TA,TA
191,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Fin,TA,TA
192,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
193,Stone,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
194,None,TA,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
195,None,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
196,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
197,None,TA,TA,No,GLQ,LwQ,SBrkr,Ex,Detchd,Unf,TA,TA
198,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
199,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
200,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
201,None,TA,TA,No,ALQ,LwQ,SBrkr,Fa,Detchd,Unf,TA,TA
202,None,Fa,TA,No,LwQ,Unf,SBrkr,,Attchd,Unf,TA,TA
203,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
204,None,TA,TA,No,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
205,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
206,None,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
207,None,TA,TA,No,ALQ,Rec,SBrkr,Po,Attchd,RFn,TA,TA
208,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
209,Stone,Gd,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,Gd
210,None,TA,TA,No,Rec,Unf,FuseA,,,,,
211,None,Gd,TA,Mn,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
212,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
213,None,Gd,TA,No,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
214,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
215,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
216,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
217,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
218,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
219,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
220,None,Gd,TA,Mn,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
221,None,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA
222,None,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
223,None,TA,TA,No,ALQ,LwQ,SBrkr,,Detchd,Unf,TA,TA
224,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
225,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
226,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
227,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
228,None,TA,TA,No,ALQ,Unf,SBrkr,Fa,Detchd,Unf,TA,TA
229,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
230,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
231,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
232,BrkFace,TA,TA,No,Unf,Unf,SBrkr,Po,Attchd,Unf,TA,TA
233,None,TA,Gd,Av,LwQ,ALQ,SBrkr,,Attchd,Unf,TA,TA
234,,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
235,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
236,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
237,None,Gd,TA,No,BLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
238,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
239,None,TA,Fa,No,LwQ,Unf,FuseA,Gd,Detchd,Unf,TA,TA
240,Stone,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
241,None,TA,TA,No,ALQ,Unf,SBrkr,,,,,
242,None,TA,TA,No,Unf,Unf,FuseA,,Attchd,Unf,Fa,TA
243,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
244,None,Gd,TA,No,GLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
245,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
246,None,Fa,TA,No,Unf,Unf,FuseP,,Detchd,Unf,Po,Po
247,None,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
248,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
249,BrkCmn,Gd,TA,Gd,Rec,Unf,SBrkr,TA,Attchd,Fin,TA,TA
250,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
251,Stone,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
252,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
253,BrkFace,Gd,TA,Gd,LwQ,ALQ,SBrkr,,Attchd,RFn,TA,TA
254,None,TA,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,TA
255,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
256,None,Gd,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,TA
257,Stone,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
258,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
259,None,,,,,,FuseA,,Detchd,Unf,TA,TA
260,BrkFace,TA,TA,Gd,Rec,ALQ,SBrkr,TA,Attchd,Unf,TA,TA
261,Stone,Ex,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
262,BrkFace,Gd,Gd,Av,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
263,None,TA,TA,No,LwQ,ALQ,SBrkr,,Detchd,Unf,TA,TA
264,None,Fa,TA,No,Unf,Unf,FuseP,,Detchd,Unf,TA,TA
265,BrkFace,Gd,TA,No,GLQ,LwQ,SBrkr,TA,Attchd,Fin,TA,TA
266,None,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
267,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
268,None,TA,TA,No,ALQ,Rec,SBrkr,Gd,Detchd,Fin,Ex,Ex
269,BrkFace,TA,Gd,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,Gd
270,None,Gd,TA,Mn,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
271,None,Gd,TA,Gd,LwQ,GLQ,SBrkr,TA,Attchd,Unf,TA,TA
272,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
273,BrkCmn,TA,TA,No,Rec,LwQ,SBrkr,Gd,Attchd,RFn,TA,TA
274,None,TA,TA,Gd,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
275,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
276,None,Ex,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
277,None,TA,TA,No,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
278,BrkFace,Ex,TA,Gd,Unf,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
279,BrkFace,Gd,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
280,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
281,Stone,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
282,Stone,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
283,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
284,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
285,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
286,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
287,None,TA,TA,No,BLQ,Unf,SBrkr,,,,,
288,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
289,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
290,None,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,Gd,TA
291,None,TA,Fa,No,Rec,Unf,SBrkr,,,,,
292,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
293,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
294,Stone,TA,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
295,None,TA,TA,Av,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
296,None,TA,TA,No,BLQ,Unf,FuseA,,Attchd,Unf,TA,TA
297,BrkFace,Gd,TA,No,BLQ,Unf,SBrkr,TA,Detchd,RFn,TA,TA
298,BrkFace,TA,TA,No,ALQ,Rec,SBrkr,Gd,Attchd,Unf,TA,TA
299,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
300,BrkFace,TA,TA,Mn,BLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
301,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
